,Open,Max,Min,Close,Volume,Margin,Date
1403,191.4,193.2,190.7,191.43,1959635.0,383.365,2020-08-27
1404,192.45,192.45,189.05,189.49,557614.0,381.72,2020-08-28
1405,192.48,192.5,190.01,191.89,1237668.0,383.44,2020-08-31
1406,188.0,191.1,187.02,190.69,2404791.0,378.40500000000003,2020-09-01
1407,192.0,198.25,191.5,196.09,5667660.0,388.92,2020-09-02
1408,196.75,201.49,196.75,197.39,5210422.0,396.19,2020-09-03
1409,197.0,198.5,194.01,195.17,2302008.0,392.34,2020-09-04
1410,195.0,198.0,193.51,195.41,1754841.0,390.96,2020-09-07
1411,195.0,200.1,193.21,196.68,3445610.0,392.495,2020-09-08
1412,197.0,197.0,192.75,194.29,2070007.0,390.52,2020-09-09
1413,195.99,205.9,195.0,202.13,9336085.0,399.51,2020-09-10
1414,203.0,205.4,201.01,203.47,2196793.0,406.44,2020-09-11
1415,205.0,209.0,199.1,206.99,4876112.0,410.045,2020-09-14
1416,208.5,209.8,205.25,206.08,2897224.0,414.81500000000005,2020-09-15
1417,207.24,207.88,202.55,203.35,1089896.0,410.51000000000005,2020-09-16
1418,206.0,208.98,205.15,206.01,1583695.0,413.07,2020-09-17
1419,207.5,207.99,204.8,207.22,606303.0,413.755,2020-09-18
1420,207.1,207.99,203.75,204.3,677744.0,411.57,2020-09-21
1421,204.49,205.0,199.01,201.77,1148023.0,405.135,2020-09-22
1422,202.5,203.5,200.15,202.6,1086802.0,404.375,2020-09-23
1423,202.51,207.48,199.75,205.62,1962390.0,407.68,2020-09-24
1424,206.0,208.9,203.15,204.77,1633609.0,411.40999999999997,2020-09-25
1425,204.99,205.75,201.0,202.43,938289.0,407.08500000000004,2020-09-28
1426,201.51,206.9,196.0,205.33,4103864.0,404.87,2020-09-29
1427,206.15,207.75,199.05,200.2,3352538.0,406.57500000000005,2020-09-30
1428,202.0,202.39,195.5,200.85,1190063.0,400.37,2020-10-01
1429,201.0,202.0,192.51,194.48,985616.0,394.995,2020-10-02
1430,192.51,197.5,190.51,193.06,2125978.0,386.78999999999996,2020-10-05
1431,195.0,197.0,189.51,193.41,1596853.0,387.46,2020-10-06
1432,195.0,199.0,193.1,198.19,751585.0,392.645,2020-10-07
1433,199.0,209.0,198.12,207.9,4496820.0,407.01,2020-10-08
1434,208.25,209.9,205.25,208.51,3059913.0,415.955,2020-10-09
1435,207.8,211.4,205.02,205.95,3999261.0,415.085,2020-10-12
1436,205.55,208.95,204.5,206.97,2259721.0,412.985,2020-10-13
1437,206.25,208.9,204.19,206.7,1835137.0,413.02,2020-10-14
1438,207.39,208.89,205.0,205.24,731252.0,413.26,2020-10-15
1439,204.5,207.7,203.11,206.97,611498.0,411.14,2020-10-16
1440,206.9,209.0,205.2,207.12,897648.0,414.11,2020-10-19
1441,207.02,214.39,207.02,211.68,3370778.0,420.055,2020-10-20
1442,213.0,213.95,209.01,210.15,1530100.0,423.05499999999995,2020-10-21
1443,210.5,212.0,206.5,207.36,568239.0,418.18,2020-10-22
1444,206.5,210.0,206.5,207.84,638289.0,415.42,2020-10-23
1445,206.6,214.0,206.6,213.05,1711461.0,420.125,2020-10-26
1446,213.5,218.0,205.85,206.09,5503300.0,421.72,2020-10-27
1447,206.0,209.9,203.5,205.24,1152901.0,412.32,2020-10-28
1448,202.51,202.52,190.01,196.41,2901833.0,395.72499999999997,2020-10-29
1449,194.0,195.99,189.0,192.67,1611330.0,385.83,2020-11-02
1450,195.01,203.0,194.17,201.69,1598604.0,396.935,2020-11-03
1451,204.0,204.97,197.0,198.14,1039620.0,402.055,2020-11-04
1452,203.0,205.51,202.75,205.0,1252552.0,408.13,2020-11-05
1453,205.9,205.9,200.51,201.45,570393.0,406.88,2020-11-06
1454,202.27,205.0,201.8,202.19,462902.0,405.63,2020-11-09
1455,209.0,209.1,204.1,204.5,870498.0,413.35,2020-11-10
1456,205.79,205.94,202.25,203.83,317377.0,408.905,2020-11-11
1457,203.11,203.11,197.01,197.86,696648.0,400.545,2020-11-12
1458,197.05,198.48,193.5,194.37,781038.0,391.70000000000005,2020-11-13
1459,194.2,196.95,193.1,195.2,210088.0,389.725,2020-11-16
1460,196.89,198.0,195.7,196.1,188153.0,393.345,2020-11-17
1461,196.0,196.0,192.5,193.17,378779.0,388.835,2020-11-18
1462,194.85,195.5,193.19,193.65,234578.0,388.595,2020-11-19
1463,194.99,194.99,191.2,191.66,317936.0,386.41999999999996,2020-11-20
1464,191.0,191.17,184.19,186.32,652727.0,376.34,2020-11-23
1465,187.99,189.0,186.5,187.96,465272.0,375.725,2020-11-24
1466,190.6,194.0,189.5,192.66,862541.0,383.38,2020-11-25
1467,195.0,196.5,193.2,194.05,716440.0,389.375,2020-11-26
1468,194.01,194.01,191.5,192.06,342126.0,385.78999999999996,2020-11-27
1469,193.0,200.99,193.0,200.26,1905139.0,393.625,2020-11-30
1470,199.9,202.0,198.05,201.4,606621.0,400.675,2020-12-01
